,step,train_error,validation_error
0,0,0.75,0.6666666865348816
1,20,0.6666666865348816,0.6666666865348816
2,40,0.6666666865348816,0.9166666865348816
3,60,0.8333333134651184,0.5833333134651184
4,80,0.6666666865348816,0.6666666865348816
5,100,0.6666666865348816,0.75
6,120,0.6666666865348816,0.6666666865348816
7,140,1.0,1.0
8,160,0.8333333134651184,1.0
9,180,0.5833333134651184,1.0
10,200,0.6666666865348816,1.0
11,220,0.75,0.9166666865348816
12,240,0.75,0.8333333134651184
13,260,0.75,0.8333333134651184
14,280,0.6666666865348816,0.5
15,300,1.0,0.8333333134651184
16,320,0.75,0.8333333134651184
17,340,0.8333333134651184,0.9166666865348816
18,360,0.75,0.8333333134651184
19,380,0.6666666865348816,0.8333333134651184
20,400,0.5833333134651184,0.8333333134651184
21,420,0.6666666865348816,0.8333333134651184
22,440,0.6666666865348816,0.75
23,460,0.5,0.6666666865348816
24,480,0.5833333134651184,0.8333333134651184
25,500,0.5,0.6666666865348816
26,520,0.4166666567325592,0.5
27,540,0.6666666865348816,0.6666666865348816
28,560,0.6666666865348816,0.5
29,580,0.6666666865348816,0.3333333432674408
30,600,0.4166666567325592,0.4166666567325592
31,620,0.4166666567325592,0.75
32,640,0.3333333432674408,0.75
33,660,0.25,0.5
34,680,0.4166666567325592,0.9166666865348816
35,700,0.5,0.8333333134651184
36,720,0.5,0.4166666567325592
37,740,0.5833333134651184,0.6666666865348816
38,760,0.3333333432674408,0.4166666567325592
39,780,0.6666666865348816,0.75
40,800,0.5833333134651184,0.3333333432674408
41,820,0.5833333134651184,0.5
42,840,0.6666666865348816,1.0
43,860,0.4166666567325592,0.3333333432674408
44,880,0.1666666716337204,0.5
45,900,0.75,0.5833333134651184
46,920,0.5833333134651184,0.3333333432674408
47,940,0.4166666567325592,0.5
48,960,0.4166666567325592,0.4166666567325592
49,980,0.4166666567325592,0.6666666865348816
50,1000,0.5833333134651184,0.6666666865348816
51,1020,0.6666666865348816,0.4166666567325592
52,1040,0.5,0.4166666567325592
53,1060,0.5,0.6666666865348816
54,1080,0.4166666567325592,0.25
55,1100,0.4166666567325592,0.25
56,1120,0.25,0.3333333432674408
57,1140,0.25,0.3333333432674408
58,1160,0.3333333432674408,0.4166666567325592
59,1180,0.5,0.4166666567325592
60,1200,0.25,0.4166666567325592
61,1220,0.3333333432674408,0.4166666567325592
62,1240,0.1666666716337204,0.6666666865348816
63,1260,0.5,0.6666666865348816
64,1280,0.0833333358168602,0.1666666716337204
65,1300,0.5,0.1666666716337204
66,1320,0.1666666716337204,0.25
67,1340,0.5,0.6666666865348816
68,1360,0.75,0.1666666716337204
69,1380,0.25,0.25
70,1400,0.5,0.5833333134651184
71,1420,0.1666666716337204,0.6666666865348816
72,1440,0.1666666716337204,0.6666666865348816
73,1460,0.0833333358168602,0.3333333432674408
74,1480,0.3333333432674408,0.75
75,1500,0.4166666567325592,0.3333333432674408
76,1520,0.75,0.25
77,1540,0.4166666567325592,0.3333333432674408
78,1560,0.3333333432674408,0.1666666716337204
79,1580,0.5,0.6666666865348816
80,1600,0.0833333358168602,0.4166666567325592
81,1620,0.5833333134651184,0.5
82,1640,0.25,0.3333333432674408
83,1660,0.25,0.25
84,1680,0.3333333432674408,0.6666666865348816
85,1700,0.25,0.5833333134651184
86,1720,0.5,0.4166666567325592
87,1740,0.25,0.1666666716337204
88,1760,0.5,0.1666666716337204
89,1780,0.3333333432674408,0.3333333432674408
90,1800,0.4166666567325592,0.3333333432674408
91,1820,0.3333333432674408,0.3333333432674408
92,1840,0.1666666716337204,0.3333333432674408
93,1860,0.5833333134651184,0.5
94,1880,0.75,0.25
95,1900,0.3333333432674408,0.5
96,1920,0.3333333432674408,0.3333333432674408
97,1940,0.25,0.3333333432674408
98,1960,0.3333333432674408,0.5
99,1980,0.25,0.3333333432674408
100,2000,0.8333333134651184,0.5833333134651184
101,2020,0.4166666567325592,0.25
102,2040,0.6666666865348816,0.5833333134651184
103,2060,0.4166666567325592,0.25
104,2080,0.25,0.5833333134651184
105,2100,0.4166666567325592,0.25
106,2120,0.25,0.9166666865348816
107,2140,0.4166666567325592,0.75
108,2160,0.4166666567325592,0.4166666567325592
109,2180,0.25,0.3333333432674408
110,2200,0.4166666567325592,0.5
111,2220,0.4166666567325592,0.9166666865348816
112,2240,0.5,0.6666666865348816
113,2260,0.5833333134651184,0.5833333134651184
114,2280,0.1666666716337204,0.4166666567325592
115,2300,0.25,0.1666666716337204
116,2320,0.0833333358168602,0.5833333134651184
117,2340,0.1666666716337204,0.6666666865348816
118,2360,0.4166666567325592,0.25
119,2380,0.25,0.3333333432674408
120,2400,0.25,0.5
121,2420,0.3333333432674408,0.3333333432674408
122,2440,0.1666666716337204,0.3333333432674408
123,2460,0.0,0.5833333134651184
124,2480,0.0,0.25
125,2500,0.1666666716337204,0.5833333134651184
126,2520,0.3333333432674408,0.5
127,2540,0.3333333432674408,0.4166666567325592
128,2560,0.0,0.25
129,2580,0.0833333358168602,0.5833333134651184
130,2600,0.25,0.3333333432674408
131,2620,0.0833333358168602,0.1666666716337204
132,2640,0.5,0.5833333134651184
133,2660,0.25,0.25
134,2680,0.0833333358168602,0.1666666716337204
135,2700,0.0833333358168602,0.3333333432674408
136,2720,0.0,0.25
137,2740,0.4166666567325592,0.3333333432674408
138,2760,0.25,0.25
139,2780,0.3333333432674408,0.8333333134651184
140,2800,0.3333333432674408,0.4166666567325592
141,2820,0.0,0.5833333134651184
142,2840,0.1666666716337204,0.1666666716337204
143,2860,0.3333333432674408,0.5
144,2880,0.5833333134651184,0.1666666716337204
145,2900,0.25,0.1666666716337204
146,2920,0.25,0.25
147,2940,0.25,0.5833333134651184
148,2960,0.1666666716337204,0.3333333432674408
149,2980,0.3333333432674408,0.25
150,3000,0.5833333134651184,0.25
151,3020,0.3333333432674408,0.5833333134651184
152,3040,0.25,0.25
153,3060,0.25,0.25
154,3080,0.0833333358168602,0.0833333358168602
155,3100,0.3333333432674408,0.0833333358168602
156,3120,0.5833333134651184,0.3333333432674408
157,3140,0.0833333358168602,0.25
158,3160,0.5,0.3333333432674408
159,3180,0.1666666716337204,0.3333333432674408
160,3200,0.0833333358168602,0.25
161,3220,0.25,0.4166666567325592
162,3240,0.0833333358168602,0.25
163,3260,0.0833333358168602,0.3333333432674408
164,3280,0.1666666716337204,1.0
165,3300,0.1666666716337204,0.5
166,3320,0.0,0.3333333432674408
167,3340,0.0,0.1666666716337204
168,3360,0.75,0.5833333134651184
169,3380,0.25,0.5833333134651184
170,3400,0.1666666716337204,0.3333333432674408
171,3420,0.75,0.4166666567325592
172,3440,0.3333333432674408,0.5
173,3460,0.1666666716337204,0.4166666567325592
174,3480,0.1666666716337204,0.4166666567325592
175,3500,0.1666666716337204,0.3333333432674408
176,3520,0.3333333432674408,0.25
177,3540,0.0833333358168602,0.8333333134651184
178,3560,0.0833333358168602,0.1666666716337204
179,3580,0.3333333432674408,0.25
180,3600,0.6666666865348816,0.5
181,3620,0.25,0.1666666716337204
182,3640,0.1666666716337204,0.4166666567325592
183,3660,0.1666666716337204,0.5
184,3680,0.0,0.0833333358168602
185,3700,0.1666666716337204,0.1666666716337204
186,3720,0.4166666567325592,0.8333333134651184
187,3740,0.1666666716337204,0.25
188,3760,0.1666666716337204,0.75
189,3780,0.0,0.8333333134651184
190,3800,0.4166666567325592,0.1666666716337204
191,3820,0.25,0.0833333358168602
192,3840,0.0833333358168602,0.0
193,3860,0.0833333358168602,0.5
194,3880,0.25,0.1666666716337204
195,3900,0.0,0.0833333358168602
196,3920,0.0,0.0
197,3940,0.0,0.25
198,3960,0.1666666716337204,0.1666666716337204
199,3980,0.0,0.1666666716337204
200,4000,0.1666666716337204,0.4166666567325592
201,4020,0.0833333358168602,0.3333333432674408
202,4040,0.4166666567325592,0.6666666865348816
203,4060,0.0,0.25
204,4080,0.1666666716337204,0.5
205,4100,0.0833333358168602,0.4166666567325592
206,4120,0.0,0.0833333358168602
207,4140,0.0833333358168602,0.5
208,4160,0.0833333358168602,0.5
209,4180,0.0833333358168602,0.3333333432674408
210,4200,0.0,0.25
211,4220,0.0833333358168602,0.1666666716337204
212,4240,0.0,0.3333333432674408
213,4260,0.0,0.1666666716337204
214,4280,0.0,0.1666666716337204
215,4300,0.0833333358168602,0.5
216,4320,0.4166666567325592,0.25
217,4340,0.0,0.25
218,4360,0.0,0.5833333134651184
219,4380,0.0833333358168602,0.25
220,4400,0.0,0.3333333432674408
221,4420,0.0833333358168602,0.6666666865348816
222,4440,0.0833333358168602,0.4166666567325592
223,4460,0.6666666865348816,0.5833333134651184
224,4480,0.0,0.4166666567325592
225,4500,0.3333333432674408,0.25
226,4520,0.0833333358168602,0.25
227,4540,0.0833333358168602,0.1666666716337204
228,4560,0.0,0.4166666567325592
229,4580,0.0,0.1666666716337204
230,4600,0.1666666716337204,0.0833333358168602
231,4620,0.0,0.1666666716337204
232,4640,0.0833333358168602,0.1666666716337204
233,4660,0.0,0.3333333432674408
234,4680,0.0,0.0833333358168602
235,4700,0.0833333358168602,0.0833333358168602
236,4720,0.0833333358168602,0.0
237,4740,0.4166666567325592,0.5833333134651184
238,4760,0.25,0.0833333358168602
239,4780,0.0833333358168602,0.6666666865348816
240,4800,0.0,0.5833333134651184
241,4820,0.0,0.25
242,4840,0.0833333358168602,0.25
243,4860,0.0,0.3333333432674408
244,4880,0.0,0.3333333432674408
245,4900,0.0,0.0833333358168602
