,step,train_error,validation_error
0,0,0.75,0.625
1,10,0.5833333134651184,0.875
2,20,0.75,0.625
3,30,0.4166666567325592,0.375
4,40,0.6666666865348816,0.625
5,50,0.75,0.5
6,60,0.5833333134651184,1.0
7,70,0.5833333134651184,0.875
8,80,0.6666666865348816,1.0
9,90,0.75,0.75
10,100,0.3333333432674408,1.0
11,110,0.75,1.0
12,120,0.9166666865348816,0.75
13,130,0.9166666865348816,0.625
14,140,0.6666666865348816,1.0
15,150,0.6666666865348816,0.875
16,160,0.6666666865348816,0.75
17,170,0.6666666865348816,0.875
18,180,0.4166666567325592,0.75
19,190,0.6666666865348816,1.0
20,200,0.6666666865348816,0.375
21,210,0.5833333134651184,0.75
22,220,0.5833333134651184,0.875
23,230,0.5,0.625
24,240,0.3333333432674408,0.75
25,250,0.6666666865348816,0.5
26,260,0.3333333432674408,0.875
27,270,0.5833333134651184,0.625
28,280,0.4166666567325592,0.75
29,290,0.6666666865348816,0.875
30,300,0.75,0.375
31,310,0.5833333134651184,0.75
32,320,0.3333333432674408,0.75
33,330,0.6666666865348816,0.625
34,340,0.3333333432674408,0.75
35,350,0.5833333134651184,0.5
36,360,0.3333333432674408,0.625
37,370,0.6666666865348816,0.5
38,380,0.5,1.0
39,390,0.5833333134651184,0.875
40,400,0.75,0.75
41,410,0.25,0.625
42,420,0.5833333134651184,0.375
43,430,0.4166666567325592,0.875
44,440,0.9166666865348816,0.5
45,450,0.8333333134651184,0.75
46,460,0.5833333134651184,0.875
47,470,0.3333333432674408,0.375
48,480,0.3333333432674408,0.5
49,490,0.5833333134651184,0.5
50,500,0.6666666865348816,0.875
51,510,0.25,0.625
52,520,0.6666666865348816,0.625
53,530,0.25,0.625
54,540,0.25,0.375
55,550,0.4166666567325592,0.5
56,560,0.4166666567325592,0.625
57,570,0.5,1.0
58,580,0.4166666567325592,0.625
59,590,0.25,0.375
60,600,0.3333333432674408,0.5
61,610,0.75,0.625
62,620,0.3333333432674408,0.5
63,630,0.5833333134651184,0.25
64,640,0.75,0.625
65,650,0.3333333432674408,0.25
66,660,0.4166666567325592,0.125
67,670,0.75,0.875
68,680,0.5833333134651184,0.375
69,690,0.6666666865348816,0.875
70,700,0.8333333134651184,0.625
71,710,0.25,0.75
72,720,0.75,0.625
73,730,0.5833333134651184,0.625
74,740,0.5833333134651184,0.25
75,750,0.6666666865348816,0.625
76,760,0.1666666716337204,0.375
77,770,0.3333333432674408,0.75
78,780,0.25,0.375
79,790,0.9166666865348816,0.75
80,800,0.4166666567325592,0.75
81,810,0.5833333134651184,0.5
82,820,0.5,0.375
83,830,0.4166666567325592,0.75
84,840,0.5833333134651184,1.0
85,850,0.0833333358168602,0.375
86,860,0.1666666716337204,0.5
87,870,0.5,0.375
88,880,0.0,0.0
89,890,0.3333333432674408,0.5
90,900,0.3333333432674408,0.125
91,910,0.6666666865348816,0.375
92,920,0.5833333134651184,0.25
93,930,0.1666666716337204,0.375
94,940,0.25,0.75
95,950,0.6666666865348816,0.5
96,960,0.3333333432674408,0.375
97,970,0.5,0.625
98,980,0.3333333432674408,0.5
99,990,0.25,0.375
100,1000,0.3333333432674408,0.5
101,1010,0.1666666716337204,0.625
102,1020,0.5833333134651184,0.25
103,1030,0.3333333432674408,0.375
104,1040,0.1666666716337204,0.25
105,1050,0.5833333134651184,0.375
106,1060,0.5833333134651184,0.5
107,1070,0.25,0.0
108,1080,0.0833333358168602,0.375
109,1090,0.4166666567325592,0.375
110,1100,0.0833333358168602,0.5
111,1110,0.6666666865348816,0.75
112,1120,0.0833333358168602,0.375
113,1130,0.3333333432674408,0.375
114,1140,0.4166666567325592,0.5
115,1150,0.1666666716337204,0.5
116,1160,0.4166666567325592,0.375
117,1170,0.5833333134651184,0.25
118,1180,0.0,0.375
119,1190,0.25,0.375
120,1200,0.25,0.25
121,1210,0.6666666865348816,0.25
122,1220,0.25,0.5
123,1230,0.4166666567325592,0.25
124,1240,0.4166666567325592,0.25
125,1250,0.9166666865348816,0.375
126,1260,0.0833333358168602,0.375
127,1270,0.3333333432674408,0.625
128,1280,0.3333333432674408,0.125
129,1290,0.25,0.875
130,1300,0.1666666716337204,0.5
131,1310,0.25,0.375
132,1320,0.4166666567325592,1.0
133,1330,0.8333333134651184,0.375
134,1340,0.6666666865348816,0.625
135,1350,0.1666666716337204,0.5
136,1360,0.25,0.375
137,1370,0.25,0.5
