,step,train_error,validation_error
0,0,0.75,0.875
1,10,1.0,0.625
2,20,0.6666666865348816,1.0
3,30,0.5833333134651184,0.5
4,40,0.75,0.625
5,50,0.4166666567325592,0.625
6,60,0.75,0.5
7,70,0.8333333134651184,0.875
8,80,0.75,0.625
9,90,0.75,0.75
10,100,0.5833333134651184,0.5
11,110,0.5833333134651184,0.75
12,120,0.8333333134651184,1.0
13,130,0.6666666865348816,0.75
14,140,0.6666666865348816,0.875
15,150,0.8333333134651184,0.875
16,160,0.75,0.75
17,170,0.5833333134651184,0.75
18,180,0.9166666865348816,1.0
19,190,0.75,0.75
20,200,0.75,0.625
21,210,0.4166666567325592,0.625
22,220,0.75,0.875
23,230,0.6666666865348816,0.625
24,240,0.5833333134651184,1.0
25,250,0.9166666865348816,0.875
26,260,0.9166666865348816,0.875
27,270,0.5833333134651184,0.875
28,280,0.75,0.875
29,290,0.6666666865348816,0.875
30,300,1.0,0.75
31,310,0.75,1.0
32,320,0.75,0.5
33,330,0.8333333134651184,0.75
34,340,0.5833333134651184,0.75
35,350,0.6666666865348816,0.875
36,360,0.8333333134651184,1.0
37,370,0.8333333134651184,0.875
38,380,0.8333333134651184,0.75
39,390,0.4166666567325592,1.0
40,400,0.4166666567325592,0.75
41,410,0.75,0.5
42,420,0.5833333134651184,0.625
43,430,0.4166666567325592,0.625
44,440,0.5833333134651184,0.75
45,450,0.9166666865348816,0.5
46,460,0.6666666865348816,0.875
47,470,0.5833333134651184,0.875
48,480,0.6666666865348816,0.75
49,490,0.75,0.75
50,500,0.6666666865348816,0.875
51,510,0.6666666865348816,0.875
52,520,0.4166666567325592,0.5
53,530,0.5833333134651184,1.0
54,540,0.5833333134651184,0.5
55,550,0.6666666865348816,0.75
56,560,0.4166666567325592,0.5
57,570,0.6666666865348816,0.375
58,580,0.75,0.25
59,590,0.5,0.375
60,600,0.6666666865348816,0.875
61,610,0.6666666865348816,0.875
62,620,0.5,0.875
63,630,0.6666666865348816,0.5
64,640,0.5833333134651184,0.375
65,650,0.5,0.875
66,660,0.6666666865348816,0.875
67,670,0.5,0.625
68,680,0.4166666567325592,0.625
69,690,0.4166666567325592,0.625
70,700,0.3333333432674408,0.5
71,710,0.25,0.625
