,step,train_error,validation_error
0,0,0.75,0.5833333134651184
1,20,0.6666666865348816,0.8333333134651184
2,40,0.8333333134651184,0.6666666865348816
3,60,0.4166666567325592,0.75
4,80,0.6666666865348816,0.6666666865348816
5,100,0.5833333134651184,0.6666666865348816
6,120,0.25,0.9166666865348816
7,140,0.6666666865348816,0.75
8,160,0.5833333134651184,0.8333333134651184
9,180,0.5833333134651184,0.75
10,200,0.5833333134651184,0.75
11,220,0.3333333432674408,0.9166666865348816
12,240,0.75,0.8333333134651184
13,260,1.0,0.75
14,280,0.5,0.8333333134651184
15,300,0.9166666865348816,0.9166666865348816
16,320,0.5,0.5833333134651184
17,340,0.25,0.6666666865348816
18,360,0.5,0.5
19,380,0.4166666567325592,0.6666666865348816
20,400,0.8333333134651184,0.9166666865348816
21,420,0.4166666567325592,0.6666666865348816
22,440,0.5,0.8333333134651184
23,460,0.8333333134651184,0.4166666567325592
24,480,0.75,0.9166666865348816
25,500,0.4166666567325592,0.6666666865348816
26,520,0.9166666865348816,0.75
27,540,0.25,0.5833333134651184
28,560,0.75,0.9166666865348816
29,580,0.4166666567325592,0.5
30,600,0.3333333432674408,0.6666666865348816
31,620,0.5,0.4166666567325592
32,640,0.5,0.6666666865348816
33,660,0.75,0.5833333134651184
34,680,0.75,0.9166666865348816
35,700,0.6666666865348816,0.25
36,720,0.5,0.5833333134651184
37,740,0.5,0.6666666865348816
38,760,0.8333333134651184,0.8333333134651184
39,780,0.5833333134651184,0.8333333134651184
40,800,0.5833333134651184,0.75
41,820,0.0833333358168602,0.4166666567325592
42,840,0.25,0.75
43,860,0.4166666567325592,0.9166666865348816
44,880,0.5,0.4166666567325592
45,900,1.0,0.5
46,920,0.5,0.75
47,940,0.5,0.9166666865348816
48,960,0.25,0.5
49,980,0.4166666567325592,0.6666666865348816
50,1000,0.4166666567325592,0.25
51,1020,0.5,0.4166666567325592
52,1040,0.8333333134651184,0.8333333134651184
53,1060,0.6666666865348816,0.8333333134651184
54,1080,0.0833333358168602,0.5
55,1100,1.0,0.8333333134651184
56,1120,0.4166666567325592,0.6666666865348816
57,1140,0.3333333432674408,0.75
58,1160,0.1666666716337204,0.4166666567325592
59,1180,0.5,0.75
60,1200,0.9166666865348816,0.25
61,1220,0.1666666716337204,0.3333333432674408
62,1240,0.4166666567325592,0.6666666865348816
63,1260,0.1666666716337204,0.4166666567325592
64,1280,0.4166666567325592,0.4166666567325592
65,1300,0.5833333134651184,0.4166666567325592
66,1320,0.5,0.4166666567325592
67,1340,0.4166666567325592,0.6666666865348816
